#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	smtp
#open	2014-01-15-21-44-49
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	helo	mailfrom	rcptto	date	from	to	reply_to	msg_id	in_reply_to	subject	x_originating_ip	first_received	second_received	last_reply	path	user_agent	fuids
#types	time	string	addr	port	addr	port	count	string	string	table[string]	string	string	table[string]	string	string	string	string	addr	string	string	string	vector[addr]	string	vector[string]
1126796501.984338	CAvbuB2m1SG3RcGVDf	100.1.100.27	60240	92.6.40.10	25	1	mail.osis.gov	<dialup128@osis.gov>	<egoick@thevillage.int>	Thu, 15 Sep 2005 11:01:41 -0400	dialup128 <dialup128@osis.gov>	jdupre@osis.gov,lduclos@osis.gov,jfedorchak@osis.gov,jescanlar@osis.gov,egoick@thevillage.int	-	<20050915110141.A23180@osis.gov>	-	=?iso-8859-1?Q?Hiddink=2C_organis=E9e_pour_loccasion=2E_Les_Auriverde_se?= =?iso-8859-1?Q?_reprendre=2E_Leur_absence?=	-	(from dialup128@localhost)\x09by mail.osis.gov (8.11.6/8.11.6) id j8FF1fc23182;\x09Thu, 15 Sep 2005 11:01:41 -0400	-	250 2.0.0 j8FF1f101603 Message accepted for delivery	92.6.40.10,100.1.100.27	-	FW2Hoc3jECCTp1Kspk
1126796502.928438	CWLs1D4sktBaFT6sTg	89.44.100.113	10174	100.1.10.25	25	1	mail.com	<tailsworth@mi5-5.uk.gov>	<mrohde@osis.gov>,<mbednorz@osis.gov>,<jpapakostas@osis.gov>,<jsington@osis.gov>	Thu, 15 Sep 2005 11:01:42 -0400	"t. ailsworth" <tailsworth@mi5-5.uk.gov>	jpapakostas@osis.gov,mbednorz@osis.gov,jsington@osis.gov,mrohde@osis.gov	-	<20050915110142.A1622@mi5-5.uk.gov>	-	once more it ouer, Tis pitty him a ring I see to vtter that vpon another	-	(from tailsworth@localhost)\x09by mail.com (8.11.6/8.11.6) id j8FF1gO01624;\x09Thu, 15 Sep 2005 11:01:42 -0400	-	250 2.0.0 j8FF1gv23239 Message accepted for delivery	100.1.10.25,89.44.100.113	-	FbqzHT14Oog6AkYpw4,F7qqDMASsCCH82q2j,F82Did2xYrNqxbHEkf
1126796502.965202	CTjAf22crdCtaZjCv4	89.44.100.101	10177	100.1.10.25	25	1	mail.com	<strappey@mi5-5.uk.gov>	<cshackle@osis.gov>,<jhuckabee@osis.gov>,<pzipf@osis.gov>	Thu, 15 Sep 2005 11:01:42 -0400	"s. trappey" <strappey@mi5-5.uk.gov>	pzipf@osis.gov,cshackle@osis.gov,jhuckabee@osis.gov	-	<20050915110142.A1670@mi5-5.uk.gov>	-	pastime of Cords, and my fellow-seruant to lament for now the girle forget	-	(from strappey@localhost)\x09by mail.com (8.11.6/8.11.6) id j8FF1gc01672;\x09Thu, 15 Sep 2005 11:01:42 -0400	-	250 2.0.0 j8FF1gv23241 Message accepted for delivery	100.1.10.25,89.44.100.101	-	FEHq3t1B4UOioO12X8,FHc5PA1IvaxfofYvni,FMAE0dLhEhVemthFl,F19YiL7KYl0m1ztkd,FnYMIw38KBY2V0tIFl,FRMyw03mgobENTHbtd,F7Fz5ic2lsJx268vi
1126796506.011371	CGV5gMp7qMHD9o4Y5	100.20.3.48	3253	100.1.10.25	25	1	tgin.osis.gov	<jcaplan@osis.gov>	<eablang@osis.gov>	Thu, 15 Sep 2005 11:01:45 -0400	Erin Repine <jcaplan@osis.gov>	eablang@osis.gov	-	<20050915110145.A550@osis.gov>	-	\(police, DA, etc.\). The Reality Check out from Canada. Once on still find	-	(from jcaplan@localhost)\x09by tgin.osis.gov (8.11.6/8.11.6) id j8FF1jo00555\x09for eablang@osis.gov; Thu, 15 Sep 2005 11:01:45 -0400	-	250 2.0.0 j8FF1kv23252 Message accepted for delivery	100.1.10.25,100.20.3.48	-	FYsJM8vdE9QAWM0pg
1126796506.047465	CNfZwi2ts4mQEXvzh3	100.1.4.252	60246	100.10.20.3	25	1	mail.osis.gov	<jcaplan@osis.gov>	<eablang@bprd.osis.gov>	Thu, 15 Sep 2005 11:01:45 -0400	Erin Repine <jcaplan@osis.gov>	eablang@osis.gov	-	<20050915110145.A550@osis.gov>	-	\(police, DA, etc.\). The Reality Check out from Canada. Once on still find	-	(from jcaplan@localhost)\x09by tgin.osis.gov (8.11.6/8.11.6) id j8FF1jo00555\x09for eablang@osis.gov; Thu, 15 Sep 2005 11:01:45 -0400	from tgin.osis.gov (uhost324.shield.osis.gov [100.20.3.48])\x09by mail.osis.gov (8.11.6/8.11.6) with ESMTP id j8FF1kv23252\x09for <eablang@osis.gov>; Thu, 15 Sep 2005 11:01:46 -0400	250 2.6.0  <20050915110145.A550@osis.gov> Queued mail for delivery	100.10.20.3,100.1.4.252,100.20.3.48	-	F1iK2d1r0J45i4dH79
1126796509.979117	CKFmjH1Lehkeme8JD	89.44.100.101	10253	100.1.10.25	25	1	mail.com	<strappey@mi5-5.uk.gov>	<cshackle@osis.gov>,<pzipf@osis.gov>,<acourtois@osis.gov>,<adesiato@osis.gov>	Thu, 15 Sep 2005 11:01:49 -0400	"s. trappey" <strappey@mi5-5.uk.gov>	pzipf@osis.gov,acourtois@osis.gov,cshackle@osis.gov,adesiato@osis.gov	-	<20050915110149.A1780@mi5-5.uk.gov>	-	helpe. Well, ile sigh and call her along, That may beare me where to loose	-	(from strappey@localhost)\x09by mail.com (8.11.6/8.11.6) id j8FF1nv01782;\x09Thu, 15 Sep 2005 11:01:49 -0400	-	250 2.0.0 j8FF1nv23284 Message accepted for delivery	100.1.10.25,89.44.100.101	-	FoQcLADq9NzitGlpj
1126796510.567655	CQzsWQbiVrDm8fIW1	89.44.100.103	10254	100.1.10.25	25	1	mail.com	<eflockhart@mi5-5.uk.gov>	<kfailing@osis.gov>	Thu, 15 Sep 2005 11:01:50 -0400	"e. flockhart" <eflockhart@mi5-5.uk.gov>	kfailing@osis.gov	-	<20050915110150.A1819@mi5-5.uk.gov>	-	=?iso-8859-1?Q?objectifs=2C_=B8_Developing=2C_reviewing_and_spoken_Prefe?= =?iso-8859-1?Q?rably_degree_of_control?=	-	(from eflockhart@localhost)\x09by mail.com (8.11.6/8.11.6) id j8FF1oY01821\x09for kfailing@osis.gov; Thu, 15 Sep 2005 11:01:50 -0400	-	250 2.0.0 j8FF1ov23292 Message accepted for delivery	100.1.10.25,89.44.100.103	-	FuKHH2ERBCJcofbIi,FATZjo2yt5pMYY0496,FnYgJs3df8KsVjD2d
1126796513.916370	CREdv611FFH9SAEZU8	100.20.3.54	3335	100.1.10.25	25	1	tgin.osis.gov	<mwatley@osis.gov>	<ecarethers@osis.gov>,<casevedo@osis.gov>,<mtelecky@osis.gov>	Thu, 15 Sep 2005 11:01:53 -0400	Erin Repine <mwatley@osis.gov>	casevedo@osis.gov,mtelecky@osis.gov,ecarethers@osis.gov	-	<20050915110153.A866@osis.gov>	-	sophisticated telescopes through apertures in simple terms. The waves roared	-	(from mwatley@localhost)\x09by tgin.osis.gov (8.11.6/8.11.6) id j8FF1re00876;\x09Thu, 15 Sep 2005 11:01:53 -0400	-	250 2.0.0 j8FF1rv23320 Message accepted for delivery	100.1.10.25,100.20.3.54	-	F9n2Yn4SbE8kp4UCMl,FutkCc3ZiDnyArPBph
1126796513.913725	CREwmT1jRjlNdcmmb8	100.20.3.47	3336	100.1.10.25	25	1	tgin.osis.gov	<dlafortune@osis.gov>	<mmatchett@thevillage.int>,<cshackle@osis.gov>,<cdang@osis.gov>,<jcortina@osis.gov>	Thu, 15 Sep 2005 11:01:53 -0400	Erin Repine <dlafortune@osis.gov>	cshackle@osis.gov,mmatchett@thevillage.int,cdang@osis.gov,jcortina@osis.gov	-	<20050915110153.A873@osis.gov>	-	grasp of Unix. For example, didnt either. Your thinking that takes is	-	(from dlafortune@localhost)\x09by tgin.osis.gov (8.11.6/8.11.6) id j8FF1rb00877;\x09Thu, 15 Sep 2005 11:01:53 -0400	-	250 2.0.0 j8FF1rv23319 Message accepted for delivery	100.1.10.25,100.20.3.47	-	F41mPW2hDoBZ4GTeUg,FUT23F1qNvBRZLaPZ2
1126796514.094614	CQHRTX1NPrBVTRGXRk	100.1.4.252	60313	92.6.40.10	25	1	mail.osis.gov	<dlafortune@osis.gov>	<mmatchett@thevillage.int>	Thu, 15 Sep 2005 11:01:53 -0400	Erin Repine <dlafortune@osis.gov>	cshackle@osis.gov,mmatchett@thevillage.int,cdang@osis.gov,jcortina@osis.gov	-	<20050915110153.A873@osis.gov>	-	grasp of Unix. For example, didnt either. Your thinking that takes is	-	(from dlafortune@localhost)\x09by tgin.osis.gov (8.11.6/8.11.6) id j8FF1rb00877;\x09Thu, 15 Sep 2005 11:01:53 -0400	from tgin.osis.gov (uhost323.shield.osis.gov [100.20.3.47])\x09by mail.osis.gov (8.11.6/8.11.6) with ESMTP id j8FF1rv23319;\x09Thu, 15 Sep 2005 11:01:53 -0400	250 2.0.0 j8FF1s101896 Message accepted for delivery	92.6.40.10,100.1.4.252,100.20.3.47	-	FcfyMa29kK0UdOuXvc,FyXV1m2wRfVIa6VbPh
1126796514.136398	CFHyBI3NkcKP4tS5qc	100.1.4.252	60314	100.10.20.3	25	1	mail.osis.gov	<dlafortune@osis.gov>	<cdang@bprd.osis.gov>	Thu, 15 Sep 2005 11:01:53 -0400	Erin Repine <dlafortune@osis.gov>	cshackle@osis.gov,mmatchett@thevillage.int,cdang@osis.gov,jcortina@osis.gov	-	<20050915110153.A873@osis.gov>	-	grasp of Unix. For example, didnt either. Your thinking that takes is	-	(from dlafortune@localhost)\x09by tgin.osis.gov (8.11.6/8.11.6) id j8FF1rb00877;\x09Thu, 15 Sep 2005 11:01:53 -0400	from tgin.osis.gov (uhost323.shield.osis.gov [100.20.3.47])\x09by mail.osis.gov (8.11.6/8.11.6) with ESMTP id j8FF1rv23319;\x09Thu, 15 Sep 2005 11:01:53 -0400	250 2.6.0  <20050915110153.A873@osis.gov> Queued mail for delivery	100.10.20.3,100.1.4.252,100.20.3.47	-	FZ9Dxk4vmx0QmmO0fj,FAxDPx36TeHWJtOX35
